product_id,product_name,category,brand,price,stock_quantity,created_at
1,삼성TV 43인치 UHD,가전제품,삼성전자,550000,50,2021-01-01
2,삼성TV 55인치 UHD,가전제품,삼성전자,750000,30,2021-01-02
3,LG TV 43인치 4K,가전제품,LG전자,530000,20,2021-01-03
4,LG TV 55인치 4K,가전제품,LG전자,820000,20,2021-01-04
5,쿠쿠 전기밥솥 10인용,가전제품,쿠쿠,180000,35,2021-01-05
6,쿠첸 전기밥솥 6인용,가전제품,쿠첸,150000,40,2021-01-06
7,다이슨 무선청소기 V11,가전제품,다이슨,690000,20,2021-01-07
8,필립스 전기면도기 S5000,가전제품,필립스,99000,35,2021-01-08
9,샤오미 공기청정기 4 Pro,가전제품,샤오미,250000,20,2021-01-09
10,애플 아이패드 10.2형,가전제품,애플,450000,25,2021-01-10
11,애플 맥북에어 M1 13인치,가전제품,애플,1200000,15,2021-01-11
12,삼성 갤럭시북 이온 15인치,가전제품,삼성전자,1350000,15,2021-01-12
13,LG그램 16인치 2021,가전제품,LG전자,1400000,10,2021-01-13
14,위니아 딤채 김치냉장고 300L,가전제품,위니아,850000,12,2021-01-14
15,샤오미 로봇청소기 2세대,가전제품,샤오미,290000,25,2021-01-15
16,캐논 미러리스 카메라 M50,가전제품,캐논,650000,8,2021-01-16
17,니콘 DSLR 카메라 D5600,가전제품,니콘,750000,7,2021-01-17
18,소니 헤드폰 WH-1000XM4,가전제품,소니,320000,15,2021-01-18
19,삼성 전자레인지 23L,가전제품,삼성전자,120000,30,2021-01-19
20,LG 전자레인지 25L,가전제품,LG전자,130000,25,2021-01-20
21,한샘 벽걸이 선풍기,가전제품,한샘,55000,40,2021-01-21
22,테팔 에어프라이어 4L,가전제품,테팔,99000,18,2021-01-22
23,필립스 전기주전자 1.5L,가전제품,필립스,45000,30,2021-01-23
24,쿠비녹스 토스터 2구,가전제품,쿠비녹스,38000,25,2021-01-24
25,브라운 전기면도기 시리즈7,가전제품,브라운,150000,20,2021-01-25
26,다이슨 슈퍼소닉 드라이어,가전제품,다이슨,490000,10,2021-01-26
27,LG 퓨리케어 공기청정기,가전제품,LG전자,390000,12,2021-01-27
28,대우 벽걸이 에어컨 6평,가전제품,대우전자,530000,10,2021-01-28
29,삼성 무풍에어컨 17평,가전제품,삼성전자,1350000,5,2021-01-29
30,LG 휘센 에어컨 2 in 1,가전제품,LG전자,1400000,6,2021-01-30
31,락앤락 밀폐용기세트 5종,생활용품,락앤락,29900,40,2021-02-01
32,유한킴벌리 화장지(3겹) 30롤,생활용품,유한킴벌리,13900,60,2021-02-02
33,종이컵 200개입,생활용품,무명브랜드,3000,80,2021-02-03
34,일회용 마스크 50매,생활용품,크린가드,5000,70,2021-02-04
35,바디워시 1L,생활용품,애경산업,8900,45,2021-02-05
36,주방세제 750ml x 2개,생활용품,CJ라이온,6900,35,2021-02-06
37,세탁세제(액체) 3L 리필,생활용품,피죤,7900,30,2021-02-07
38,일회용 수세미 20매,생활용품,스카치브라이트,4000,50,2021-02-08
39,물티슈 캡형 100매 x 5팩,생활용품,베비언스,8900,60,2021-02-09
40,대형 쓰레기봉투 100L 10매,생활용품,깨끗한나라,8000,25,2021-02-10
41,고무장갑(빨간색) L 사이즈,생활용품,오랫동안,2000,80,2021-02-11
42,곰팡이제거 스프레이 500ml,생활용품,옥시크린,4500,40,2021-02-12
43,휴대용 손소독제 60ml x 3,생활용품,닥터가드,5000,90,2021-02-13
44,세탁소 옷걸이 50개입,생활용품,무명브랜드,3500,40,2021-02-14
45,부직포 행주(다용도) 50매,생활용품,생활백서,4500,35,2021-02-15
46,커터칼 + 리필날 10개,생활용품,3M,5000,40,2021-02-16
47,걸레밀대 + 리필포 10장,생활용품,스카치브라이트,9900,20,2021-02-17
48,호신용 휴대용 경보기,생활용품,안전지킴이,8900,15,2021-02-18
49,방충망 패치 5매입,생활용품,홈가드,6000,30,2021-02-19
50,운동화 빨래망 대형,생활용품,깨끗한나라,4000,35,2021-02-20
51,규조토 발매트,생활용품,어반하우스,12900,20,2021-02-21
52,진공청소기용 먼지봉투 5개,생활용품,다이슨,15000,10,2021-02-22
53,욕실 미끄럼방지 매트,생활용품,한샘,10900,15,2021-02-23
54,다용도 바구니 3개 세트,생활용품,이케아,8900,20,2021-02-24
55,방문 틈새막이 문풍지,생활용품,무명브랜드,3000,50,2021-02-25
56,머그컵 2P 세트,생활용품,포트메리온,17900,10,2021-02-26
57,고무장갑(노란색) M 사이즈,생활용품,오랫동안,2000,80,2021-02-27
58,비닐랩 30m x 3개,생활용품,크린랩,5000,50,2021-02-28
59,일회용 알루미늄 호일(50m),생활용품,크린랩,4000,40,2021-03-01
60,수납박스 66L 2개 세트,생활용품,리빙박스,18900,20,2021-03-02
61,남성 정장 세트(자켓+바지),의류,지이크,129000,20,2021-03-03
62,여성 원피스 롱핏,의류,라벨라인,89000,25,2021-03-04
63,아동 티셔츠(긴팔),의류,유아동전문,15000,40,2021-03-05
64,후드티(오버핏),의류,무신사스탠다드,29900,60,2021-03-06
