order_id,product_id,quantity,base_price,discount_rate,unit_price,subtotal
1,185,5,59000,0.29,41890,209450
1,68,1,35000,0.1,31500,31500
1,123,5,18000,0.21,14220,71100
2,180,2,119000,0.15,101150,202300
2,96,3,19900,0.09,18110,54330
3,192,5,79000,0.16,66360,331800
3,199,2,39000,0.09,35490,70980
3,40,1,8000,0.16,6720,6720
3,79,1,39000,0.19,31590,31590
4,15,4,290000,0.05,275500,1102000
4,197,2,290000,0.12,255200,510400
4,37,5,7900,0.11,7030,35150
4,165,2,49000,0.05,46550,93100
5,137,5,17800,0.13,15490,77450
5,37,2,7900,0.03,7660,15320
5,36,1,6900,0.1,6210,6210
5,151,1,19000,0.06,17860,17860
6,88,3,7900,0.23,6080,18240
6,198,1,49000,0.15,41650,41650
6,77,2,59000,0.23,45430,90860
6,12,2,1350000,0.19,1093500,2187000
7,104,2,9900,0.0,9900,19800
7,167,1,59000,0.02,57820,57820
7,34,3,5000,0.16,4200,12600
8,184,4,290000,0.16,243600,974400
8,176,3,29900,0.08,27510,82530
9,5,4,180000,0.09,163800,655200
9,126,1,15800,0.06,14850,14850
9,153,2,9900,0.17,8220,16440
9,45,2,4500,0.16,3780,7560
9,14,4,850000,0.17,705500,2822000
10,90,3,15900,0.26,11770,35310
11,196,1,299000,0.23,230230,230230
11,144,4,15000,0.16,12600,50400
11,49,1,6000,0.29,4260,4260
11,191,3,45000,0.14,38700,116100
11,197,3,290000,0.15,246500,739500
12,79,5,39000,0.04,37440,187200
13,142,3,4500,0.26,3330,9990
13,65,5,59000,0.03,57230,286150
14,190,5,59000,0.04,56640,283200
14,167,3,59000,0.06,55460,166380
14,154,1,45000,0.0,45000,45000
14,26,2,490000,0.24,372400,744800
15,125,1,4500,0.17,3740,3740
15,102,2,21900,0.01,21680,43360
15,118,5,4900,0.0,4900,24500
15,115,4,5500,0.15,4680,18720
16,182,2,99000,0.29,70290,140580
16,88,4,7900,0.23,6080,24320
16,9,1,250000,0.1,225000,225000
17,185,1,59000,0.14,50740,50740
17,180,3,119000,0.0,119000,357000
18,77,5,59000,0.27,43070,215350
18,122,4,12000,0.04,11520,46080
18,193,1,29000,0.1,26100,26100
18,157,5,18000,0.07,16740,83700
19,152,3,22000,0.01,21780,65340
19,90,3,15900,0.27,11610,34830
19,73,4,79000,0.25,59250,237000
19,164,3,15000,0.06,14100,42300
20,45,3,4500,0.27,3280,9840
20,88,5,7900,0.24,6000,30000
20,178,2,29000,0.19,23490,46980
20,172,3,7000,0.04,6720,20160
20,29,4,1350000,0.22,1053000,4212000
21,85,2,69000,0.23,53130,106260
21,132,5,5000,0.14,4300,21500
21,145,5,15000,0.21,11850,59250
22,15,3,290000,0.21,229100,687300
23,62,5,89000,0.0,89000,445000
23,113,3,19900,0.08,18310,54930
23,106,5,3000,0.2,2400,12000
24,154,3,45000,0.01,44550,133650
24,118,4,4900,0.17,4070,16280
25,158,2,9900,0.23,7620,15240
25,33,4,3000,0.09,2730,10920
25,157,1,18000,0.23,13860,13860
25,156,2,8900,0.23,6850,13700
26,70,2,79000,0.19,63990,127980
26,119,3,12900,0.25,9680,29040
26,189,4,99000,0.21,78210,312840
26,50,2,4000,0.29,2840,5680
27,47,1,9900,0.22,7720,7720
28,32,3,13900,0.16,11680,35040
29,110,5,14900,0.24,11320,56600
30,66,4,89000,0.15,75650,302600
30,71,5,49000,0.15,41650,208250
30,87,1,59000,0.24,44840,44840
30,196,4,299000,0.23,230230,920920
30,6,4,150000,0.04,144000,576000
31,135,3,9000,0.13,7830,23490
31,96,2,19900,0.24,15120,30240
31,95,4,3900,0.12,3430,13720
32,95,3,3900,0.24,2960,8880
32,14,4,850000,0.16,714000,2856000
32,85,3,69000,0.06,64860,194580
32,51,4,12900,0.2,10320,41280
33,192,4,79000,0.22,61620,246480
33,186,5,89000,0.12,78320,391600
33,32,5,13900,0.01,13760,68800
33,34,1,5000,0.07,4650,4650
34,111,5,10900,0.3,7630,38150
34,95,2,3900,0.04,3740,7480
34,164,3,15000,0.06,14100,42300
34,5,3,180000,0.13,156600,469800
34,131,4,13000,0.19,10530,42120
35,96,4,19900,0.15,16920,67680
35,149,1,18000,0.1,16200,16200
35,178,1,29000,0.09,26390,26390
35,111,1,10900,0.1,9810,9810
36,51,2,12900,0.22,10060,20120
37,25,5,150000,0.26,111000,555000
37,99,4,3800,0.24,2890,11560
37,140,5,33000,0.09,30030,150150
37,191,2,45000,0.03,43650,87300
38,95,1,3900,0.23,3000,3000
39,101,4,19900,0.01,19700,78800
39,61,3,129000,0.12,113520,340560
39,131,4,13000,0.2,10400,41600
40,82,2,129000,0.08,118680,237360
40,62,2,89000,0.29,63190,126380
40,81,3,19900,0.16,16720,50160
41,45,3,4500,0.07,4180,12540
42,192,1,79000,0.05,75050,75050
42,97,2,8900,0.2,7120,14240
42,157,1,18000,0.01,17820,17820
43,39,4,8900,0.07,8280,33120
43,96,1,19900,0.07,18510,18510
44,118,5,4900,0.24,3720,18600
44,28,5,530000,0.03,514100,2570500
44,5,4,180000,0.29,127800,511200
45,135,5,9000,0.04,8640,43200
45,57,3,2000,0.3,1400,4200
45,118,1,4900,0.08,4510,4510
45,16,4,650000,0.29,461500,1846000
45,99,5,3800,0.28,2740,13700
46,22,2,99000,0.26,73260,146520
46,41,4,2000,0.3,1400,5600
46,90,3,15900,0.3,11130,33390
47,62,5,89000,0.02,87220,436100
47,95,3,3900,0.16,3280,9840
47,102,1,21900,0.25,16420,16420
47,47,2,9900,0.25,7420,14840
48,7,2,690000,0.15,586500,1173000
48,35,4,8900,0.06,8370,33480
48,30,3,1400000,0.06,1316000,3948000
48,142,5,4500,0.01,4460,22300
49,13,2,1400000,0.26,1036000,2072000
49,147,1,17000,0.23,13090,13090
49,167,5,59000,0.08,54280,271400
50,173,3,6000,0.05,5700,17100
50,74,2,9900,0.13,8610,17220
50,28,2,530000,0.18,434600,869200
50,21,4,55000,0.04,52800,211200
51,176,5,29900,0.22,23320,116600
51,93,1,13900,0.13,12090,12090
52,49,1,6000,0.2,4800,4800
52,111,3,10900,0.11,9700,29100
52,58,5,5000,0.1,4500,22500
52,177,2,25000,0.15,21250,42500
52,198,2,49000,0.06,46060,92120
53,162,5,20000,0.12,17600,88000
53,140,3,33000,0.09,30030,90090
53,193,1,29000,0.04,27840,27840
53,200,2,28000,0.11,24920,49840
53,40,2,8000,0.2,6400,12800
54,177,3,25000,0.24,19000,57000
54,192,4,79000,0.17,65570,262280
54,112,5,15900,0.14,13670,68350
55,119,3,12900,0.03,12510,37530
55,98,4,18900,0.14,16250,65000
55,21,3,55000,0.28,39600,118800
55,109,2,10900,0.1,9810,19620
56,46,3,5000,0.08,4600,13800
56,195,2,12900,0.3,9030,18060
56,45,1,4500,0.13,3920,3920
56,53,4,10900,0.05,10360,41440
56,197,3,290000,0.13,252300,756900
57,49,3,6000,0.19,4860,14580
57,39,1,8900,0.0,8900,8900
57,78,2,29000,0.02,28420,56840
57,31,3,29900,0.0,29900,89700
57,127,1,13800,0.25,10350,10350
58,54,4,8900,0.06,8370,33480
58,128,4,13000,0.07,12090,48360
58,177,5,25000,0.16,21000,105000
58,20,5,130000,0.03,126100,630500
59,179,4,39000,0.21,30810,123240
60,90,2,15900,0.11,14150,28300
60,37,4,7900,0.04,7580,30320
61,56,2,17900,0.19,14500,29000
61,61,4,129000,0.04,123840,495360
62,125,4,4500,0.2,3600,14400
62,131,3,13000,0.19,10530,31590
62,45,1,4500,0.02,4410,4410
62,169,3,8000,0.0,8000,24000
62,184,1,290000,0.09,263900,263900
63,84,1,39900,0.16,33520,33520
63,161,4,29000,0.09,26390,105560
63,14,2,850000,0.24,646000,1292000
63,76,1,19900,0.24,15120,15120
64,82,5,129000,0.15,109650,548250
64,56,4,17900,0.19,14500,58000
65,108,2,6900,0.06,6490,12980
65,163,1,5000,0.07,4650,4650
65,56,3,17900,0.14,15390,46170
66,174,2,15000,0.2,12000,24000
67,54,5,8900,0.06,8370,41850
67,185,3,59000,0.12,51920,155760
67,159,4,15000,0.06,14100,56400
67,73,1,79000,0.12,69520,69520
68,13,5,1400000,0.29,994000,4970000
68,187,4,650000,0.11,578500,2314000
68,166,5,9000,0.13,7830,39150
68,18,1,320000,0.08,294400,294400
68,103,3,5900,0.11,5250,15750
69,87,3,59000,0.19,47790,143370
70,187,1,650000,0.23,500500,500500
70,33,2,3000,0.25,2250,4500
70,108,1,6900,0.05,6560,6560
70,27,4,390000,0.25,292500,1170000
70,47,3,9900,0.3,6930,20790
71,191,4,45000,0.06,42300,169200
71,193,1,29000,0.17,24070,24070
71,172,5,7000,0.29,4970,24850
72,23,4,45000,0.27,32850,131400
72,172,4,7000,0.29,4970,19880
72,189,1,99000,0.19,80190,80190
73,157,3,18000,0.03,17460,52380
73,129,3,17000,0.26,12580,37740
74,173,4,6000,0.02,5880,23520
74,92,2,3500,0.25,2620,5240
74,109,5,10900,0.15,9260,46300
74,94,4,4500,0.04,4320,17280
74,23,4,45000,0.11,40050,160200
75,52,1,15000,0.09,13650,13650
76,40,3,8000,0.28,5760,17280
76,51,5,12900,0.28,9290,46450
77,23,2,45000,0.01,44550,89100
77,15,4,290000,0.03,281300,1125200
77,127,4,13800,0.04,13250,53000
